"pokedex_number";"nome";"ataque";"defesa";"vida";"tipo 1";"tipo_2";"geracao";"lendario";"habilidades"
256;"Combusken";85;60;60;"fire";"fighting";3;0;"['Blaze', 'Speed Boost']"
257;"Blaziken";160;80;80;"fire";"fighting";3;0;"['Blaze', 'Speed Boost']"
258;"Mudkip";70;50;50;"water";"";3;0;"['Torrent', 'Damp']"
259;"Marshtomp";85;70;70;"water";"ground";3;0;"['Torrent', 'Damp']"
260;"Swampert";150;110;100;"water";"ground";3;0;"['Torrent', 'Damp']"
261;"Poochyena";55;35;35;"dark";"";3;0;"['Run Away', 'Quick Feet', 'Rattled']"
262;"Mightyena";90;70;70;"dark";"";3;0;"['Intimidate', 'Quick Feet', 'Moxie']"
263;"Zigzagoon";30;41;38;"normal";"";3;0;"['Pickup', 'Gluttony', 'Quick Feet']"
264;"Linoone";70;61;78;"normal";"";3;0;"['Pickup', 'Gluttony', 'Quick Feet']"
265;"Wurmple";45;35;45;"bug";"";3;0;"['Shield Dust', 'Run Away']"
266;"Silcoon";35;55;50;"bug";"";3;0;"['Shed Skin']"
267;"Beautifly";70;50;60;"bug";"flying";3;0;"['Swarm', 'Rivalry']"
268;"Cascoon";35;55;50;"bug";"";3;0;"['Shed Skin']"
269;"Dustox";50;70;60;"bug";"poison";3;0;"['Shield Dust', 'Compoundeyes']"
270;"Lotad";30;30;40;"water";"grass";3;0;"['Swift Swim', 'Rain Dish', 'Own Tempo']"
271;"Lombre";50;50;60;"water";"grass";3;0;"['Swift Swim', 'Rain Dish', 'Own Tempo']"
272;"Ludicolo";70;70;80;"water";"grass";3;0;"['Swift Swim', 'Rain Dish', 'Own Tempo']"
273;"Seedot";40;50;40;"grass";"";3;0;"['Chlorophyll', 'Early Bird', 'Pickpocket']"
274;"Nuzleaf";70;40;70;"grass";"dark";3;0;"['Chlorophyll', 'Early Bird', 'Pickpocket']"
275;"Shiftry";100;60;90;"grass";"dark";3;0;"['Chlorophyll', 'Early Bird', 'Pickpocket']"
276;"Taillow";55;30;40;"normal";"flying";3;0;"['Guts', 'Scrappy']"
277;"Swellow";85;60;60;"normal";"flying";3;0;"['Guts', 'Scrappy']"
278;"Wingull";30;30;40;"water";"flying";3;0;"['Keen Eye', 'Hydration', 'Rain Dish']"
279;"Pelipper";50;100;60;"water";"flying";3;0;"['Keen Eye', 'Drizzle', 'Rain Dish']"
280;"Ralts";25;25;28;"psychic";"fairy";3;0;"['Synchronize', 'Trace', 'Telepathy']"
281;"Kirlia";35;35;38;"psychic";"fairy";3;0;"['Synchronize', 'Trace', 'Telepathy']"
282;"Gardevoir";85;65;68;"psychic";"fairy";3;0;"['Synchronize', 'Trace', 'Telepathy']"
283;"Surskit";30;32;40;"bug";"water";3;0;"['Swift Swim', 'Rain Dish']"
284;"Masquerain";60;62;70;"bug";"flying";3;0;"['Intimidate', 'Unnerve']"
285;"Shroomish";40;60;60;"grass";"";3;0;"['Effect Spore', 'Poison Heal', 'Quick Feet']"
286;"Breloom";130;80;60;"grass";"fighting";3;0;"['Effect Spore', 'Poison Heal', 'Technician']"
287;"Slakoth";60;60;60;"normal";"";3;0;"['Truant']"
288;"Vigoroth";80;80;80;"normal";"";3;0;"['Vital Spirit']"
289;"Slaking";160;100;150;"normal";"";3;0;"['Truant']"
290;"Nincada";45;90;31;"bug";"ground";3;0;"['Compoundeyes', 'Run Away']"
291;"Ninjask";90;45;61;"bug";"flying";3;0;"['Speed Boost', 'Infiltrator']"
292;"Shedinja";90;45;1;"bug";"ghost";3;0;"['Wonder Guard']"
293;"Whismur";51;23;64;"normal";"";3;0;"['Soundproof', 'Rattled']"
294;"Loudred";71;43;84;"normal";"";3;0;"['Soundproof', 'Scrappy']"
295;"Exploud";91;63;104;"normal";"";3;0;"['Soundproof', 'Scrappy']"
296;"Makuhita";60;30;72;"fighting";"";3;0;"['Thick Fat', 'Guts', 'Sheer Force']"
297;"Hariyama";120;60;144;"fighting";"";3;0;"['Thick Fat', 'Guts', 'Sheer Force']"
298;"Azurill";20;40;50;"normal";"fairy";3;0;"['Thick Fat', 'Huge Power', 'Sap Sipper']"
299;"Nosepass";45;135;30;"rock";"";3;0;"['Sturdy', 'Magnet Pull', 'Sand Force']"
300;"Skitty";45;45;50;"normal";"";3;0;"['Cute Charm', 'Normalize', 'Wonder Skin ']"
301;"Delcatty";65;65;70;"normal";"";3;0;"['Cute Charm', 'Normalize', 'Wonder Skin ']"
302;"Sableye";85;125;50;"dark";"ghost";3;0;"['Keen Eye', 'Stall', 'Prankster']"
303;"Mawile";105;125;50;"steel";"fairy";3;0;"['Hyper Cutter', 'Intimidate', 'Sheer Force']"
304;"Aron";70;100;50;"steel";"rock";3;0;"['Sturdy', 'Rock Head', 'Heavy Metal']"
305;"Lairon";90;140;60;"steel";"rock";3;0;"['Sturdy', 'Rock Head', 'Heavy Metal']"
306;"Aggron";140;230;70;"steel";"rock";3;0;"['Sturdy', 'Rock Head', 'Heavy Metal']"
307;"Meditite";40;55;30;"fighting";"psychic";3;0;"['Pure Power', 'Telepathy']"
308;"Medicham";100;85;60;"fighting";"psychic";3;0;"['Pure Power', 'Telepathy']"
309;"Electrike";45;40;40;"electric";"";3;0;"['Static', 'Lightningrod', 'Minus']"
310;"Manectric";75;80;70;"electric";"";3;0;"['Static', 'Lightningrod', 'Minus']"
311;"Plusle";50;40;60;"electric";"";3;0;"['Plus', 'Lightningrod']"
312;"Minun";40;50;60;"electric";"";3;0;"['Minus', 'Volt Absorb']"
313;"Volbeat";73;75;65;"bug";"";3;0;"['Illuminate', 'Swarm', 'Prankster']"
314;"Illumise";47;75;65;"bug";"";3;0;"['Oblivious', 'Tinted Lens', 'Prankster']"
315;"Roselia";60;45;50;"grass";"poison";3;0;"['Natural Cure', 'Poison Point', 'Leaf Guard']"
316;"Gulpin";43;53;70;"poison";"";3;0;"['Liquid Ooze', 'Sticky Hold', 'Gluttony']"
317;"Swalot";73;83;100;"poison";"";3;0;"['Liquid Ooze', 'Sticky Hold', 'Gluttony']"
318;"Carvanha";90;20;45;"water";"dark";3;0;"['Rough Skin', 'Speed Boost']"
319;"Sharpedo";140;70;70;"water";"dark";3;0;"['Rough Skin', 'Speed Boost']"
320;"Wailmer";70;35;130;"water";"";3;0;"['Water Veil', 'Oblivious', 'Pressure']"
321;"Wailord";90;45;170;"water";"";3;0;"['Water Veil', 'Oblivious', 'Pressure']"
322;"Numel";60;40;60;"fire";"ground";3;0;"['Oblivious', 'Simple', 'Own Tempo']"
323;"Camerupt";120;100;70;"fire";"ground";3;0;"['Magma Armor', 'Solid Rock', 'Anger Point']"
324;"Torkoal";85;140;70;"fire";"";3;0;"['White Smoke', 'Drought', 'Shell Armor']"
325;"Spoink";25;35;60;"psychic";"";3;0;"['Thick Fat', 'Own Tempo', 'Gluttony']"
326;"Grumpig";45;65;80;"psychic";"";3;0;"['Thick Fat', 'Own Tempo', 'Gluttony']"
327;"Spinda";60;60;60;"normal";"";3;0;"['Own Tempo', 'Tangled Feet', 'Contrary']"
328;"Trapinch";100;45;45;"ground";"";3;0;"['Hyper Cutter', 'Arena Trap', 'Sheer Force']"
329;"Vibrava";70;50;50;"ground";"dragon";3;0;"['Levitate']"
330;"Flygon";100;80;80;"ground";"dragon";3;0;"['Levitate']"
331;"Cacnea";85;40;50;"grass";"";3;0;"['Sand Veil', 'Water Absorb']"
332;"Cacturne";115;60;70;"grass";"dark";3;0;"['Sand Veil', 'Water Absorb']"
333;"Swablu";40;60;45;"normal";"flying";3;0;"['Natural Cure', 'Cloud Nine']"
334;"Altaria";110;110;75;"dragon";"flying";3;0;"['Natural Cure', 'Cloud Nine']"
335;"Zangoose";115;60;73;"normal";"";3;0;"['Immunity', 'Toxic Boost']"
336;"Seviper";100;60;73;"poison";"";3;0;"['Shed Skin', 'Infiltrator']"
337;"Lunatone";55;65;90;"rock";"psychic";3;0;"['Levitate']"
338;"Solrock";95;85;90;"rock";"psychic";3;0;"['Levitate']"
339;"Barboach";48;43;50;"water";"ground";3;0;"['Oblivious', 'Anticipation', 'Hydration']"
340;"Whiscash";78;73;110;"water";"ground";3;0;"['Oblivious', 'Anticipation', 'Hydration']"
341;"Corphish";80;65;43;"water";"";3;0;"['Hyper Cutter', 'Shell Armor', 'Adaptability']"
342;"Crawdaunt";120;85;63;"water";"dark";3;0;"['Hyper Cutter', 'Shell Armor', 'Adaptability']"
343;"Baltoy";40;55;40;"ground";"psychic";3;0;"['Levitate']"
344;"Claydol";70;105;60;"ground";"psychic";3;0;"['Levitate']"
345;"Lileep";41;77;66;"rock";"grass";3;0;"['Suction Cups', 'Storm Drain']"
346;"Cradily";81;97;86;"rock";"grass";3;0;"['Suction Cups', 'Storm Drain']"
347;"Anorith";95;50;45;"rock";"bug";3;0;"['Battle Armor', 'Swift Swim']"
348;"Armaldo";125;100;75;"rock";"bug";3;0;"['Battle Armor', 'Swift Swim']"
349;"Feebas";15;20;20;"water";"";3;0;"['Swift Swim', 'Oblivious', 'Adaptability']"
350;"Milotic";60;79;95;"water";"";3;0;"['Marvel Scale', 'Competitive', 'Cute Charm']"
351;"Castform";70;70;70;"normal";"";3;0;"['Forecast']"
352;"Kecleon";90;70;60;"normal";"";3;0;"['Color Change', 'Protean']"
353;"Shuppet";75;35;44;"ghost";"";3;0;"['Insomnia', 'Frisk', 'Cursed Body']"
354;"Banette";165;75;64;"ghost";"";3;0;"['Insomnia', 'Frisk', 'Cursed Body']"
355;"Duskull";40;90;20;"ghost";"";3;0;"['Levitate', 'Frisk']"
356;"Dusclops";70;130;40;"ghost";"";3;0;"['Pressure', 'Frisk']"
357;"Tropius";68;83;99;"grass";"flying";3;0;"['Chlorophyll', 'Solar Power', 'Harvest']"
358;"Chimecho";50;80;75;"psychic";"";3;0;"['Levitate']"
359;"Absol";150;60;65;"dark";"";3;0;"['Pressure', 'Super Luck', 'Justified']"
360;"Wynaut";23;48;95;"psychic";"";3;0;"['Shadow Tag', 'Telepathy']"
361;"Snorunt";50;50;50;"ice";"";3;0;"['Inner Focus', 'Ice Body', 'Moody']"
362;"Glalie";120;80;80;"ice";"";3;0;"['Inner Focus', 'Ice Body', 'Moody']"
363;"Spheal";40;50;70;"ice";"water";3;0;"['Thick Fat', 'Ice Body', 'Oblivious']"
364;"Sealeo";60;70;90;"ice";"water";3;0;"['Thick Fat', 'Ice Body', 'Oblivious']"
365;"Walrein";80;90;110;"ice";"water";3;0;"['Thick Fat', 'Ice Body', 'Oblivious']"
366;"Clamperl";64;85;35;"water";"";3;0;"['Shell Armor', 'Rattled']"
367;"Huntail";104;105;55;"water";"";3;0;"['Swift Swim', 'Water Veil']"
368;"Gorebyss";84;105;55;"water";"";3;0;"['Swift Swim', 'Hydration']"
369;"Relicanth";90;130;100;"water";"rock";3;0;"['Swift Swim', 'Rock Head', 'Sturdy']"
370;"Luvdisc";30;55;43;"water";"";3;0;"['Swift Swim', 'Hydration']"
371;"Bagon";75;60;45;"dragon";"";3;0;"['Rock Head', 'Sheer Force']"
372;"Shelgon";95;100;65;"dragon";"";3;0;"['Rock Head', 'Overcoat']"
373;"Salamence";145;130;95;"dragon";"flying";3;0;"['Intimidate', 'Moxie']"
374;"Beldum";55;80;40;"steel";"psychic";3;0;"['Clear Body', 'Light Metal']"
375;"Metang";75;100;60;"steel";"psychic";3;0;"['Clear Body', 'Light Metal']"
376;"Metagross";145;150;80;"steel";"psychic";3;0;"['Clear Body', 'Light Metal']"
377;"Regirock";100;200;80;"rock";"";3;1;"['Clear Body', 'Sturdy']"
378;"Regice";50;100;80;"ice";"";3;1;"['Clear Body', 'Ice Body']"
379;"Registeel";75;150;80;"steel";"";3;1;"['Clear Body', 'Light Metal']"
380;"Latias";100;120;80;"dragon";"psychic";3;1;"['Levitate']"
381;"Latios";130;100;80;"dragon";"psychic";3;1;"['Levitate']"
382;"Kyogre";150;90;100;"water";"";3;1;"['Drizzle']"
383;"Groudon";180;160;100;"ground";"";3;1;"['Drought']"
384;"Rayquaza";180;100;105;"dragon";"flying";3;1;"['Air Lock']"
385;"Jirachi";100;100;100;"steel";"psychic";3;1;"['Serene Grace']"
386;"Deoxys";95;90;50;"psychic";"";3;1;"['Pressure']"
387;"Turtwig";68;64;55;"grass";"";4;0;"['Overgrow', 'Shell Armor']"
388;"Grotle";89;85;75;"grass";"";4;0;"['Overgrow', 'Shell Armor']"
389;"Torterra";109;105;95;"grass";"ground";4;0;"['Overgrow', 'Shell Armor']"
390;"Chimchar";58;44;44;"fire";"";4;0;"['Blaze', 'Iron Fist']"
391;"Monferno";78;52;64;"fire";"fighting";4;0;"['Blaze', 'Iron Fist']"
392;"Infernape";104;71;76;"fire";"fighting";4;0;"['Blaze', 'Iron Fist']"
393;"Piplup";51;53;53;"water";"";4;0;"['Torrent', 'Defiant']"
394;"Prinplup";66;68;64;"water";"";4;0;"['Torrent', 'Defiant']"
395;"Empoleon";86;88;84;"water";"steel";4;0;"['Torrent', 'Defiant']"
396;"Starly";55;30;40;"normal";"flying";4;0;"['Keen Eye', 'Reckless']"
397;"Staravia";75;50;55;"normal";"flying";4;0;"['Intimidate', 'Reckless']"
398;"Staraptor";120;70;85;"normal";"flying";4;0;"['Intimidate', 'Reckless']"
399;"Bidoof";45;40;59;"normal";"";4;0;"['Simple', 'Unaware', 'Moody']"
400;"Bibarel";85;60;79;"normal";"water";4;0;"['Simple', 'Unaware', 'Moody']"
401;"Kricketot";25;41;37;"bug";"";4;0;"['Shed Skin', 'Run Away']"
402;"Kricketune";85;51;77;"bug";"";4;0;"['Swarm', 'Technician']"
403;"Shinx";65;34;45;"electric";"";4;0;"['Rivalry', 'Intimidate', 'Guts']"
404;"Luxio";85;49;60;"electric";"";4;0;"['Rivalry', 'Intimidate', 'Guts']"
405;"Luxray";120;79;80;"electric";"";4;0;"['Rivalry', 'Intimidate', 'Guts']"
406;"Budew";30;35;40;"grass";"poison";4;0;"['Natural Cure', 'Poison Point', 'Leaf Guard']"
407;"Roserade";70;65;60;"grass";"poison";4;0;"['Natural Cure', 'Poison Point', 'Technician']"
408;"Cranidos";125;40;67;"rock";"";4;0;"['Mold Breaker', 'Sheer Force']"
409;"Rampardos";165;60;97;"rock";"";4;0;"['Mold Breaker', 'Sheer Force']"
410;"Shieldon";42;118;30;"rock";"steel";4;0;"['Sturdy', 'Soundproof']"
411;"Bastiodon";52;168;60;"rock";"steel";4;0;"['Sturdy', 'Soundproof']"
412;"Burmy";29;45;40;"bug";"";4;0;"['Shed Skin', 'Overcoat']"
413;"Wormadam";69;95;60;"bug";"grass";4;0;"['Anticipation', 'Overcoat']"
414;"Mothim";94;50;70;"bug";"flying";4;0;"['Swarm', 'Tinted Lens']"
415;"Combee";30;42;30;"bug";"flying";4;0;"['Honey Gather', 'Hustle']"
416;"Vespiquen";80;102;70;"bug";"flying";4;0;"['Pressure', 'Unnerve']"
417;"Pachirisu";45;70;60;"electric";"";4;0;"['Run Away', 'Pickup', 'Volt Absorb']"
418;"Buizel";65;35;55;"water";"";4;0;"['Swift Swim', 'Water Veil']"
419;"Floatzel";105;55;85;"water";"";4;0;"['Swift Swim', 'Water Veil']"
420;"Cherubi";35;45;45;"grass";"";4;0;"['Chlorophyll']"
421;"Cherrim";60;70;70;"grass";"";4;0;"['Flower Gift']"
422;"Shellos";48;48;76;"water";"";4;0;"['Sticky Hold', 'Storm Drain', 'Sand Force']"
423;"Gastrodon";83;68;111;"water";"ground";4;0;"['Sticky Hold', 'Storm Drain', 'Sand Force']"
424;"Ambipom";100;66;75;"normal";"";4;0;"['Technician', 'Pickup', 'Skill Link']"
425;"Drifloon";50;34;90;"ghost";"flying";4;0;"['Aftermath', 'Unburden', 'Flare Boost']"
426;"Drifblim";80;44;150;"ghost";"flying";4;0;"['Aftermath', 'Unburden', 'Flare Boost']"
427;"Buneary";66;44;55;"normal";"";4;0;"['Run Away', 'Klutz', 'Limber']"
428;"Lopunny";136;94;65;"normal";"";4;0;"['Cute Charm', 'Klutz', 'Limber']"
429;"Mismagius";60;60;60;"ghost";"";4;0;"['Levitate']"
430;"Honchkrow";125;52;100;"dark";"flying";4;0;"['Insomnia', 'Super Luck', 'Moxie']"
431;"Glameow";55;42;49;"normal";"";4;0;"['Limber', 'Own Tempo', 'Keen Eye']"
432;"Purugly";82;64;71;"normal";"";4;0;"['Thick Fat', 'Own Tempo', 'Defiant']"
433;"Chingling";30;50;45;"psychic";"";4;0;"['Levitate']"
434;"Stunky";63;47;63;"poison";"dark";4;0;"['Stench', 'Aftermath', 'Keen Eye']"
435;"Skuntank";93;67;103;"poison";"dark";4;0;"['Stench', 'Aftermath', 'Keen Eye']"
436;"Bronzor";24;86;57;"steel";"psychic";4;0;"['Levitate', 'Heatproof', 'Heavy Metal']"
437;"Bronzong";89;116;67;"steel";"psychic";4;0;"['Levitate', 'Heatproof', 'Heavy Metal']"
438;"Bonsly";80;95;50;"rock";"";4;0;"['Sturdy', 'Rock Head', 'Rattled']"
439;"Mime Jr.";25;45;20;"psychic";"fairy";4;0;"['Soundproof', 'Filter', 'Technician']"
440;"Happiny";5;5;100;"normal";"";4;0;"['Natural Cure', 'Serene Grace', 'Friend Guard']"
441;"Chatot";65;45;76;"normal";"flying";4;0;"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
442;"Spiritomb";92;108;50;"ghost";"dark";4;0;"['Pressure', 'Infiltrator']"
443;"Gible";70;45;58;"dragon";"ground";4;0;"['Sand Veil', 'Rough Skin']"
444;"Gabite";90;65;68;"dragon";"ground";4;0;"['Sand Veil', 'Rough Skin']"
445;"Garchomp";170;115;108;"dragon";"ground";4;0;"['Sand Veil', 'Rough Skin']"
446;"Munchlax";85;40;135;"normal";"";4;0;"['Pickup', 'Thick Fat', 'Gluttony']"
447;"Riolu";70;40;40;"fighting";"";4;0;"['Steadfast', 'Inner Focus', 'Prankster']"
448;"Lucario";145;88;70;"fighting";"steel";4;0;"['Steadfast', 'Inner Focus', 'Justified']"
449;"Hippopotas";72;78;68;"ground";"";4;0;"['Sand Stream', 'Sand Force']"
450;"Hippowdon";112;118;108;"ground";"";4;0;"['Sand Stream', 'Sand Force']"
451;"Skorupi";50;90;40;"poison";"bug";4;0;"['Battle Armor', 'Sniper', 'Keen Eye']"
452;"Drapion";90;110;70;"poison";"dark";4;0;"['Battle Armor', 'Sniper', 'Keen Eye']"
453;"Croagunk";61;40;48;"poison";"fighting";4;0;"['Anticipation', 'Dry Skin', 'Poison Touch']"
454;"Toxicroak";106;65;83;"poison";"fighting";4;0;"['Anticipation', 'Dry Skin', 'Poison Touch']"
455;"Carnivine";100;72;74;"grass";"";4;0;"['Levitate']"
456;"Finneon";49;56;49;"water";"";4;0;"['Swift Swim', 'Storm Drain', 'Water Veil']"
457;"Lumineon";69;76;69;"water";"";4;0;"['Swift Swim', 'Storm Drain', 'Water Veil']"
458;"Mantyke";20;50;45;"water";"flying";4;0;"['Swift Swim', 'Water Absorb', 'Water Veil']"
459;"Snover";62;50;60;"grass";"ice";4;0;"['Snow Warning', 'Soundproof']"
460;"Abomasnow";132;105;90;"grass";"ice";4;0;"['Snow Warning', 'Soundproof']"
461;"Weavile";120;65;70;"dark";"ice";4;0;"['Pressure', 'Pickpocket']"
462;"Magnezone";70;115;70;"electric";"steel";4;0;"['Magnet Pull', 'Sturdy', 'Analytic']"
463;"Lickilicky";85;95;110;"normal";"";4;0;"['Own Tempo', 'Oblivious', 'Cloud Nine']"
464;"Rhyperior";140;130;115;"ground";"rock";4;0;"['Lightningrod', 'Solid Rock', 'Reckless']"
465;"Tangrowth";100;125;100;"grass";"";4;0;"['Chlorophyll', 'Leaf Guard', 'Regenerator']"
466;"Electivire";123;67;75;"electric";"";4;0;"['Motor Drive', 'Vital Spirit']"
467;"Magmortar";95;67;75;"fire";"";4;0;"['Flame Body', 'Vital Spirit']"
468;"Togekiss";50;95;85;"fairy";"flying";4;0;"['Hustle', 'Serene Grace', 'Super Luck']"
469;"Yanmega";76;86;86;"bug";"flying";4;0;"['Speed Boost', 'Tinted Lens', 'Frisk']"
470;"Leafeon";110;130;65;"grass";"";4;0;"['Leaf Guard', 'Chlorophyll']"
471;"Glaceon";60;110;65;"ice";"";4;0;"['Snow Cloak', 'Ice Body']"
472;"Gliscor";95;125;75;"ground";"flying";4;0;"['Hyper Cutter', 'Sand Veil', 'Poison Heal']"
473;"Mamoswine";130;80;110;"ice";"ground";4;0;"['Oblivious', 'Snow Cloak', 'Thick Fat']"
474;"Porygon-Z";80;70;85;"normal";"";4;0;"['Adaptability', 'Download', 'Analytic']"
475;"Gallade";165;95;68;"psychic";"fighting";4;0;"['Steadfast', 'Justified']"
476;"Probopass";55;145;60;"rock";"steel";4;0;"['Sturdy', 'Magnet Pull', 'Sand Force']"
477;"Dusknoir";100;135;45;"ghost";"";4;0;"['Pressure', 'Frisk']"
478;"Froslass";80;70;70;"ice";"ghost";4;0;"['Snow Cloak', 'Cursed Body']"
479;"Rotom";65;107;50;"electric";"ghost";4;0;"['Levitate']"
480;"Uxie";75;130;75;"psychic";"";4;1;"['Levitate']"
481;"Mesprit";105;105;80;"psychic";"";4;1;"['Levitate']"
482;"Azelf";125;70;75;"psychic";"";4;1;"['Levitate']"
483;"Dialga";120;120;100;"steel";"dragon";4;1;"['Pressure', 'Telepathy']"
484;"Palkia";120;100;90;"water";"dragon";4;1;"['Pressure', 'Telepathy']"
485;"Heatran";90;106;91;"fire";"steel";4;1;"['Flash Fire', 'Flame Body']"
486;"Regigigas";160;110;110;"normal";"";4;1;"['Slow Start']"
487;"Giratina";120;100;150;"ghost";"dragon";4;1;"['Pressure', 'Telepathy', 'Levitate']"
488;"Cresselia";70;120;120;"psychic";"";4;1;"['Levitate']"
489;"Phione";80;80;80;"water";"";4;0;"['Hydration']"
490;"Manaphy";100;100;100;"water";"";4;1;"['Hydration']"
491;"Darkrai";90;90;70;"dark";"";4;1;"['Bad Dreams']"
492;"Shaymin";103;75;100;"grass";"grass";4;1;"['Natural Cure', 'Serene Grace']"
493;"Arceus";120;120;120;"normal";"";4;1;"['Multitype']"
494;"Victini";100;100;100;"psychic";"fire";5;1;"['Victory Star']"
495;"Snivy";45;55;45;"grass";"";5;0;"['Overgrow', 'Contrary']"
496;"Servine";60;75;60;"grass";"";5;0;"['Overgrow', 'Contrary']"
497;"Serperior";75;95;75;"grass";"";5;0;"['Overgrow', 'Contrary']"
498;"Tepig";63;45;65;"fire";"";5;0;"['Blaze', 'Thick Fat']"
499;"Pignite";93;55;90;"fire";"fighting";5;0;"['Blaze', 'Thick Fat']"
500;"Emboar";123;65;110;"fire";"fighting";5;0;"['Blaze', 'Reckless']"
501;"Oshawott";55;45;55;"water";"";5;0;"['Torrent', 'Shell Armor']"
502;"Dewott";75;60;75;"water";"";5;0;"['Torrent', 'Shell Armor']"
503;"Samurott";100;85;95;"water";"";5;0;"['Torrent', 'Shell Armor']"
504;"Patrat";55;39;45;"normal";"";5;0;"['Run Away', 'Keen Eye', 'Analytic']"
505;"Watchog";85;69;60;"normal";"";5;0;"['Illuminate', 'Keen Eye', 'Analytic']"
506;"Lillipup";60;45;45;"normal";"";5;0;"['Vital Spirit', 'Pickup', 'Run Away']"
507;"Herdier";80;65;65;"normal";"";5;0;"['Intimidate', 'Sand Rush', 'Scrappy']"
508;"Stoutland";110;90;85;"normal";"";5;0;"['Intimidate', 'Sand Rush', 'Scrappy']"
509;"Purrloin";50;37;41;"dark";"";5;0;"['Limber', 'Unburden', 'Prankster']"
510;"Liepard";88;50;64;"dark";"";5;0;"['Limber', 'Unburden', 'Prankster']"
511;"Pansage";53;48;50;"grass";"";5;0;"['Gluttony', 'Overgrow']"
512;"Simisage";98;63;75;"grass";"";5;0;"['Gluttony', 'Overgrow']"
513;"Pansear";53;48;50;"fire";"";5;0;"['Gluttony', 'Blaze']"
514;"Simisear";98;63;75;"fire";"";5;0;"['Gluttony', 'Blaze']"
515;"Panpour";53;48;50;"water";"";5;0;"['Gluttony', 'Torrent']"
516;"Simipour";98;63;75;"water";"";5;0;"['Gluttony', 'Torrent']"
517;"Munna";25;45;76;"psychic";"";5;0;"['Forewarn', 'Synchronize', 'Telepathy']"
518;"Musharna";55;85;116;"psychic";"";5;0;"['Forewarn', 'Synchronize', 'Telepathy']"
519;"Pidove";55;50;50;"normal";"flying";5;0;"['Big Pecks', 'Super Luck', 'Rivalry']"
520;"Tranquill";77;62;62;"normal";"flying";5;0;"['Big Pecks', 'Super Luck', 'Rivalry']"
521;"Unfezant";115;80;80;"normal";"flying";5;0;"['Big Pecks', 'Super Luck', 'Rivalry']"
522;"Blitzle";60;32;45;"electric";"";5;0;"['Lightningrod', 'Motor Drive', 'Sap Sipper']"
523;"Zebstrika";100;63;75;"electric";"";5;0;"['Lightningrod', 'Motor Drive', 'Sap Sipper']"
524;"Roggenrola";75;85;55;"rock";"";5;0;"['Sturdy', 'Weak Armor', 'Sand Force']"
525;"Boldore";105;105;70;"rock";"";5;0;"['Sturdy', 'Weak Armor', 'Sand Force']"
526;"Gigalith";135;130;85;"rock";"";5;0;"['Sturdy', 'Sand Stream', 'Sand Force']"
527;"Woobat";45;43;65;"psychic";"flying";5;0;"['Unaware', 'Klutz', 'Simple']"
528;"Swoobat";57;55;67;"psychic";"flying";5;0;"['Unaware', 'Klutz', 'Simple']"
529;"Drilbur";85;40;60;"ground";"";5;0;"['Sand Rush', 'Sand Force', 'Mold Breaker']"
530;"Excadrill";135;60;110;"ground";"steel";5;0;"['Sand Rush', 'Sand Force', 'Mold Breaker']"
531;"Audino";60;126;103;"normal";"";5;0;"['Healer', 'Regenerator', 'Klutz']"
